SmasherID,SmashTag,BWeek1
1077,Revenge | Gahtzu,189.0
3665,Younger,37.0
3734,Hulka,15.0
3772,Arcadia,27.0
4176,NathanSandwich,13.0
4205,a-on,5.0
4390,CG | Jflex,108.0
5630,BKB! | stocmoney,5.0
5724,Wassabi,3.0
5869,Joey Bats,11.0
7277,Crescent | JSalt,70.0
10485,DD,95.0
10529,The Leaf,93.0
10971,Brainless  | FLiiNcHy,29.0
11458,Tuesday,17.0
12023,El Link,11.0
12048,K8A,16.0
12137,yingling,10.0
12365,PW | Vincessant,9.0
18652,LFTG | Logos,28.0
21405,Fire,1.0
22088,Nebulous | Jib,9.0
22458,Kandayo,4.0
22595,Aura,9.0
23501,Ratt,1.0
23995,Forrest,7.0
25351,Hell'sLabyrinth,1.0
25810,Melee Stats | Pikachu942,2.0
25916,redpandamaster,17.0
26387,Phantom Airline,4.0
26750,KoDoRiN,216.0
26920,Trash,1.0
29840,TBD,21.0
30804,Frap,13.0
31487,Winx Club | Siddward,12.0
32691,Blitzkrieg,2.0
34694,flthd | flatline,2.0
34902,Tanooki,9.0
37116,GUG | Kürv,7.0
38643,RedX,5.0
40793,MGFC | JorDank,4.0
41055,jacket,51.0
47650,shoelegend88,2.0
50937,Wumbo,2.0
51076,Power Kevin,1.0
51373,prof,75.0
60696,FM | Cilan,3.0
61570,YC | Peppi | | Pappi,116.0
64692,SANS | Blues Clues,76.0
103305,Dr. Lame,11.0
129363,Flow | ESPONJA,12.0
132938,RU | Midnight Blue,12.0
151360,Inky,66.0
158213,LG | Louis,16.0
159198,Pi2z,5.0
183677,Yamasaki,4.0
211440,Darrell,3.0
213297,Chompy,9.0
224897,AWaveDash,1.0
226595,TourGuide,4.0
232193,Chiefn_,11.0
232446,ash6,2.0
233059,Ribboned Ace,4.0
245346,SIMP | Vagab0nd,1.0
267849,TG | Mot$,155.0
268767,markrevival,1.0
269238,91,4.0
279107,Khryke,49.0
327350,lochist,15.0
328736,SadSack,8.0
466221,Melo,12.0
472971,yBaS | MaxJacks,1.0
512704,Axis,5.0
519985,Marvelboy,5.0
542693,Bbatts,18.0
581039,I'm Michael BTW,43.0
657175,Bobakanoosh,4.0
657711,PurpleZ,1.0
694497,IMP | Ben,164.0
709843,Chem,10.0
725014,charmell0,3.0
725016,Dolfo,1.0
834231,Jun,12.0
836691,BeanBurrito-San,5.0
875354,Penguin,1.0
928066,Kelpo,4.0
945542,KOA | youngbool,1.0
1077796,FreeHops,4.0
1149773,ali_,2.0
1194651,gsm | Pound,2.0
1248621,Anzeray,1.0
1278457,Rocket,48.0
1375808,Epoodle,6.0
1432189,nunoodle,1.0
1451042,Deeb,4.0
1598204,YoungHanSolo,3.0
1640788,Special K,1.0
1723399,jeddo,15.0
1871538,Not_DuduTsai,19.0
1940854,JoffDuchar,3.0
1944467,SUPERUNKNOWN,2.0
1957918,Cow,14.0
1966716,LewdCelebs4Free,6.0
1974127,aujory,2.0
1974143,Jeem,1.0
2029721,Ghost Rider,9.0
2041350,2rk | Turok,3.0
2084281,Keykey,3.0
2093540,RitzyCheese,3.0
2140092,Jet,2.0
2146437,HaxMoneyHulkHogan,1.0
2160161,GAS,7.0
2170469,Golf,5.0
2179108,Mud,16.0
2192126,NattyIce,1.0
2242538,Erica,13.0
