SmasherID,SmashTag,BWeek1,BWeek2
1023,Nintendude,NAN,63
1077,Revenge | Gahtzu,189,296
2088,ycz6,NAN,71
3602,JLo,NAN,4
3665,Younger,37,133
3734,Hulka,15,15
3772,Arcadia,27,27
4107,GG | n0ne,NAN,163
4176,NathanSandwich,13,42
4205,a-on,5,17
4390,CG | Jflex,108,216
5630,BKB! | stocmoney,5,6
5724,Wassabi,3,3
5869,Joey Bats,11,26
6176,Mova,NAN,3
7068,mikey,NAN,8
7149,Trail,NAN,15
7277,Crescent | JSalt,70,70
10228,Flow | Stark,NAN,3
10485,DD,95,104
10529,The Leaf,93,93
10971,Brainless  | FLiiNcHy,29,29
11458,Tuesday,17,17
11490,Dash,NAN,2
11945,RULES | Strazz,NAN,6
12023,El Link,11,22
12048,K8A,16,16
12137,yingling,10,10
12365,PW | Vincessant,9,9
13639,21! | Ronan,NAN,3
13765,Help,NAN,12
14305,Nard Dawg,NAN,10
14592,ZOOK | Suezo,NAN,43
15298,Cowbell,NAN,14
18652,LFTG | Logos,28,57
21405,Fire,1,1
22088,Nebulous | Jib,9,9
22333,Redcoat,NAN,11
22458,Kandayo,4,4
22595,Aura,9,10
23422,ZimD00D,NAN,20
23501,Ratt,1,1
23995,Forrest,7,7
25351,Hell'sLabyrinth,1,1
25810,Melee Stats | Pikachu942,2,2
25916,redpandamaster,17,17
26387,Phantom Airline,4,4
26750,KoDoRiN,216,434
26920,Trash,1,1
29840,TBD,21,52
30804,Frap,13,25
31487,Winx Club | Siddward,12,12
32201,PRIN$E,NAN,12
32691,Blitzkrieg,2,2
34399,BuenasRetas | Cobs,NAN,4
34694,flthd | flatline,2,2
34902,Tanooki,9,9
35258,LFG | Fist Mexico,NAN,4
37116,GUG | K�rv,7,7
38643,RedX,5,5
39235,Dream,NAN,95
40793,MGFC | JorDank,4,20
41055,jacket,51,73
41374,Anchovy,NAN,21
45356,OtES,NAN,5
47497,Ellis,NAN,9
47650,shoelegend88,2,2
48322,AHHHHH | Climbers Alice,NAN,2
49875,Paladin,NAN,32
50937,Wumbo,2,2
51076,Power Kevin,1,1
51373,prof,75,75
60696,FM | Cilan,3,3
61570,YC | Peppi | | Pappi,116,116
61897,LSD,NAN,144
63772,Fern,NAN,10
64692,SANS | Blues Clues,76,101
103305,Dr. Lame,11,11
128898,Zhāoshù,NAN,5
129344,totally butts,NAN,19
129363,Flow | ESPONJA,12,19
130672,Soltrain,NAN,8
132938,RU | Midnight Blue,12,12
136990,Holy | key,NAN,6
149952,Jakespeare,NAN,11
151360,Inky,66,66
157615,ight,NAN,5
157632,TurboThot,NAN,2
158213,LG | Louis,16,16
159198,Pi2z,5,5
171201,Mootook,NAN,15
173178,LAG,NAN,44
183677,Yamasaki,4,17
184637,Joey Donuts,NAN,30
185618,Captain G,NAN,2
211440,Darrell,3,20
213297,Chompy,9,9
219838,Lamb's Ear,NAN,4
221423,Typhoon,NAN,19
224897,AWaveDash,1,2
