Character,SmashTag,Rank
Falco,bobby big ballz,1.0
Falco,Ginger,6.0
Falco,Fiction,16.0
Falco,rocky,22.0
Falco,Bones,23.0
Falco,YC | Pappi,29.0
Falco,cliché,30.0
Falco,NOOT,33.0
Falco,yingling,36.0
Falco,LFTG | Logos,40.0
Falco,GLR | JAM,41.0
Falco,Ghost Rider,44.0
Falco,TBD,63.0
Falco,Joey Donuts,68.0
Falco,Neologism,72.0
Falco,Westballz,74.0
Falco,Fankriss,79.0
Falco,TNS | Asashi,82.0
Falco,AlyJ,86.0
Falco,Chummi,89.0
Falco,Help,97.0
Falco,Elk G | Ivayne,105.0
Falco,oh,115.0
Falco,NoFuxGiven,125.0
Falco,shoelegend88,131.0
Falco,ericiscool.net,134.0
Falco,YoungHanSolo,134.0
Falco,jtetter,139.0
Falco,Pawn,146.0
Falco,Light,146.0
Falco,Good1ife,146.0
Falco,Arctic,160.0
Falco,ushi,174.0
Falco,hestoned,176.0
Falco,Kaptinkillem,176.0
Falco,KaiKwonDo,176.0
Falco,thesiscat,182.0
Falco,PRIN$E,200.0
Falco,ItsDad,200.0
Falco,dirtyDev,200.0
Falco,Jolf,208.0
Falco,JustJoshin,208.0
Falco,ROFL,208.0
Falco,John,208.0
Falco,CLEM#112 | Clem,222.0
Falco,hHerb,222.0
Falco,Jakespeare,222.0
Falco,SudoJoe,222.0
Falco,Sodabro,237.0
Falco,Daz,237.0
Falco,BLM | Rats!,237.0
Falco,Juuuuurien,237.0
Falco,not NJ wally | wally,254.0
Falco,Elk_G | Karm,254.0
Falco,bliutwo,261.0
Falco,WOMB#619 | Wombat,261.0
Falco,IceCreamOG,261.0
Falco,doby,261.0
Falco,Pulch,279.0
Falco,119 | Fabio,279.0
Falco,Heatedchaos,279.0
Falco,Spi,279.0
Falco,LL | Duky,279.0
Falco,Shy,279.0
Falco,Zave,279.0
Falco,24 | Mamba!,300.0
Falco,TheFormuoli,300.0
Falco,CB,300.0
Falco,mixx,313.0
Falco,Rooster,313.0
Falco,winismine,342.0
Falco,Dusk,342.0
Falco,in10city,342.0
Falco,Penguis,342.0
Falco,Melos,342.0
Falco,jeddo,342.0
Falco,bird | unlucky,361.0
Falco,Slump,361.0
Falco,TC | BuyMyMixTape,361.0
Falco,Luppi,361.0
Falco,Slemdog,361.0
Falco,91,361.0
Falco,Maljo,361.0
Falco,620 | Megacaat,398.0
Falco,dabt,398.0
Falco,UARK | VentusWK,398.0
Falco,HorseGirl420,398.0
Falco,Rigo Bigo,398.0
Falco,Drewski,398.0
Falco,pinecone22,424.0
Falco,jatpuan,424.0
Falco,rickey_kc,450.0
Falco,K.YUNG,450.0
Falco,EWA | ERGonomics,450.0
Falco,Nico,450.0
Falco,Blanks,450.0
Falco,CUCK | BreahdToDaBeuhrds,450.0
Falco,melatonin,450.0
Falco,Port!!!,450.0
Falco,Caveman3732,483.0
Falco,Velos,483.0
Falco,ZUTH | Zuthane,483.0
Falco,Frozone,483.0
Falco,Nudepenguin,513.0
Falco,early,513.0
Falco,Edicus,513.0
Falco,Blue Jay,513.0
Falco,bensw,513.0
Falco,Fishpaste,513.0
Falco,ButterRoyaleTV,513.0
Falco,DCG | Spots,513.0
Falco,MK | RedSoul,561.0
Falco,Fathom,561.0
Falco,Abhi,561.0
Falco,Snickerdoodle,561.0
Falco,Majora,561.0
Falco,ledgefiend,561.0
Falco,sameeyell,561.0
Falco,PajamaBoyPete,561.0
Falco,PP | Droze,561.0
Falco,LVD | Super,561.0
Falco,Yuki08,561.0
Falco,CarltonDanks,561.0
Marth,KoDoRiN,4.0
Marth,lluZ | PEP | LSD,5.0
Marth,Young,42.0
Marth,Quaff,45.0
Marth,Typhoon,46.0
Marth,akir,51.0
Marth,Connor,63.0
Marth,Dom,66.0
Marth,Phantom Airline,77.0
Marth,Bonn Esports | Question,95.0
Marth,MT,100.0
Marth,soccermom69,109.0
Marth,Maher,115.0
Marth,Zeeker,129.0
