Character,SmashTag,Rank
Falco,bobby big ballz,2.0
Falco,Ginger,6.0
Falco,Fiction,12.0
Falco,Bones,16.0
Falco,cliché,18.0
Falco,YC | Pappi,19.0
Falco,NOOT,20.0
Falco,yingling,37.0
Falco,GLR | JAM,37.0
Falco,Neologism,39.0
Falco,TBD,40.0
Falco,Westballz,40.0
Falco,Ghost Rider,42.0
Falco,AlyJ,45.0
Falco,Elk G | Ivayne,78.0
Falco,Light,79.0
Falco,Help,80.0
Falco,Pawn,82.0
Falco,Arctic,88.0
Falco,ericiscool.net,100.0
Falco,Kaptinkillem,101.0
Falco,KaiKwonDo,101.0
Falco,ROFL,114.0
Falco,John,114.0
Falco,Jakespeare,119.0
Falco,CLEM#112 | Clem,119.0
Falco,ushi,119.0
Falco,BLM | Rats!,126.0
Falco,thesiscat,126.0
Falco,hHerb,141.0
Falco,JustJoshin,141.0
Falco,Zave,148.0
Falco,jtetter,148.0
Falco,Shy,148.0
Falco,CB,158.0
Falco,TheFormuoli,158.0
Falco,WOMB#619 | Wombat,163.0
Falco,TC | BuyMyMixTape,179.0
Falco,Slump,179.0
Falco,bird | unlucky,179.0
Falco,SDJ | SudoJoe,179.0
Falco,YoungHanSolo,179.0
Falco,dirtyDev,190.0
Falco,Penguis,190.0
Falco,Melos,190.0
Falco,HorseGirl420,203.0
Falco,Drewski,203.0
Falco,UARK | VentusWK,203.0
Falco,Rigo Bigo,203.0
Falco,rickey_kc,223.0
Falco,Nico,223.0
Falco,ZUTH | Zuthane,241.0
Falco,Frozone,241.0
Falco,early,248.0
Falco,Blue Jay,248.0
Falco,ButterRoyaleTV,248.0
Falco,DCG | Spots,248.0
Falco,bensw,248.0
Falco,Fishpaste,248.0
Falco,Luppi,248.0
Falco,Abhi,267.0
Falco,CarltonDanks,267.0
Falco,LVD | Super,267.0
Falco,PP | Droze,267.0
Falco,Snickerdoodle,267.0
Marth,KoDoRiN,4.0
Marth,PEP | LSD,5.0
Marth,Young,30.0
Marth,Dom,36.0
Marth,Typhoon,50.0
Marth,Bonn Esports | Question,54.0
Marth,soccermom69,67.0
Marth,Maher,70.0
Marth,HWY | ybot,82.0
Marth,Phantom Airline,88.0
Marth,Alex18+,97.0
Marth,CG | Firebolt,97.0
Marth,Thad <3,97.0
Marth,Den,126.0
Marth,pointykitty,141.0
Marth,CSR | Tezlik,148.0
Marth,OXY | TheCrimsonBlur,163.0
Marth,Yamasaki,163.0
Marth,Big Pivot,163.0
Marth,Tourist,174.0
Marth,kippu,174.0
Marth,moscow mich,179.0
Marth,Uncle Pete,179.0
Marth,Hamburglar,190.0
Marth,Watermelons,203.0
Marth,Vitro,215.0
Marth,DiscipleOfBorp,215.0
Marth,BEBO,223.0
Marth,RB | V$,241.0
Marth,Ahung,241.0
Marth,BABA | Babo,248.0
Marth,3OutChange,248.0
Marth,LUNK#783 | dom,248.0
Marth,N8V,248.0
Marth,KLAWHAU5,248.0
Sheik,IMP | Ben,8.0
Sheik,RG | Far!,21.0
Sheik,Fizz,25.0
Sheik,Pipe,30.0
Sheik,Spiral Cafe | Krudo,44.0
Sheik,Hulka,45.0
Sheik,ScrubUp,75.0
Sheik,GEM | CrossFitJesus,80.0
Sheik,LanTurN,103.0
Sheik,8-bit | dansdaman,116.0
Sheik,Talen,141.0
Sheik,Zeph,148.0
Sheik,BABA | shama,148.0
Sheik,TT | Dair,190.0
Sheik,Fraud,190.0
Sheik,100 Days Of Solitude,215.0
Sheik,gbio,223.0
Sheik,ASAPferq,223.0
Sheik,GS | TreyTheTrashman,223.0
Sheik,lemon,267.0
Sheik,Rose,267.0
Sheik,LoneCubone,267.0
Sheik,Just Jason,267.0
ICs,Trail,58.0
ICs,Daddy Icey,267.0
Falcon,S2J,3.0
Falcon,Revenge | Gahtzu,7.0
Falcon,JCubez,11.0
Falcon,Android 0,28.0
Falcon,ight,43.0
Falcon,404 YC | Salt,50.0
Falcon,GHQ | Zamu,52.0
Falcon,snacklepackle,56.0
Falcon,TG NBR | Panos,60.0
Falcon,Captain G,67.0
Falcon,Vish,69.0
Falcon,Rive,88.0
